职位,公司,薪资,城市,公司详情页
AI编译器工程师,上海哈明科贸有限公司,2.5-3.5万·13薪,北京·朝阳区,https://jobs.51job.com/all/coUjMFYwBgU2lVM1E7VDc.html
AI大模型开发工程师,上海喆塔信息科技有限公司,1.8-3万,合肥·高新区,https://jobs.51job.com/all/coAmBVNgViUmtUMlExB2I.html
Python高级工程师（AI大模型方向）,上海兰台信息技术有限公司,2-3万,上海·普陀区,https://jobs.51job.com/all/coAWZQPVE6VG0EYwVnVzE.html
AI图像算法工程师,艾新环保材料（深圳）有限公司,6千-1万,东莞·企石镇,https://jobs.51job.com/all/coCW1VNF4_AjgPbgRkB2I.html
AI 主任工程师,江森自控空调冷冻设备（无锡）有限公司,2-4万,无锡,https://jobs.51job.com/all/coAmZSNFQxVGgCZgBrXD4.html
AI大模型python工程师,三诺生物传感股份有限公司,8千-1.2万·13薪,长沙·岳麓区,https://jobs.51job.com/all/coBmIGZVM2DzUAYANjAmQ.html
NPI工程师,东莞市思行智能设备制造有限公司,1.2-1.6万·13薪,东莞·塘厦镇,https://jobs.51job.com/all/coBmcAZVMwVWoHYVMzUTU.html
AI算法工程师,杭州浙诚数据科技有限公司,1.5-2.5万,杭州·余杭区,https://jobs.51job.com/all/coAW9UNFc3DjgHYVMxUTA.html
AI应用/算法工程师,技嘉科技（GIGABYTE）,1.5-3万,深圳·福田区,https://jobs.51job.com/all/coB2NWOgNhBDIDZlE2Vjo.html
前端开发工程师,云润大数据服务有限公司,5千-1万,广州·天河区,https://jobs.51job.com/all/coA2ABbV49AzlWMANiXDA.html
测试工程师,上海人工智能研究院有限公司,1-1.8万,上海·闵行区,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
人工智能测试助理,深圳市卓远创科技有限公司,6-8千·13薪,深圳·南山区,https://jobs.51job.com/all/coVTpSN148VGgPa1c3UDI.html
图像视觉算法工程师( AI算法方向),合肥佳富特机器人科技有限责任公司,1-1.5万,合肥·蜀山区,https://jobs.51job.com/all/coAmNSNlAzBjABbFAyUTY.html
AI工程师,上海雅捷信息技术股份有限公司,1.3-2万,上海·闵行区,https://jobs.51job.com/all/coVTBQNAVgBzoEYgJmUjc.html
测试工程师,上海人工智能研究院有限公司,1-1.8万,嘉兴·嘉善县,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
AI算法工程师,重庆兆光科技股份有限公司,6-9千,重庆·璧山区,https://jobs.51job.com/all/coVjVSNFAwVmBVNwNlVDE.html
实习生（2025届毕业生）,成都中联华睿人工智能科技有限公司,4-5千,成都·武侯区,https://jobs.51job.com/all/coAWIBYQdiVm0GY1Q0BmE.html
ai工程师,上海雅捷信息技术股份有限公司,1.6-2.5万,上海·闵行区,https://jobs.51job.com/all/coVTBQNAVgBzoEYgJmUjc.html
Technical Writer,上海人工智能研究院有限公司,1.2-2.4万,嘉兴·嘉善县,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
算法工程师,四川丹诺迪科技有限公司,8千-1.5万,成都·高新区,https://jobs.51job.com/all/coUzBQPVU2VmwCY1AxXDw.html
AI大模型工程师,上海慧铂信息技术有限公司,1.8-2.6万,上海·宝山区,https://jobs.51job.com/all/coVjhQPFA7BDIEZ1Y2B2Q.html
人工智能工程师,常州悠科物联科技有限公司,2-4万·13薪,上海·静安区,https://jobs.51job.com/all/coBGUAZlUwDzUEaQdlUDM.html
项目经理（通用机器人）,上海人工智能研究院有限公司,1.5-3万,上海·闵行区,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
